title,category_url
Health & Personal Care,https://shopee.ph/mall/brands/107
Babies & Kids,https://shopee.ph/mall/brands/113
Mobiles & Accessories,https://shopee.ph/mall/brands/109
Home & Living,https://shopee.ph/mall/brands/112
Sports & Travel,https://shopee.ph/mall/brands/1029
Women's Accessories,https://shopee.ph/mall/brands/106
Men's Bags & Accessories,https://shopee.ph/mall/brands/2755
Women's Apparel,https://shopee.ph/mall/brands/102
Women's Bags,https://shopee.ph/mall/brands/1713
Women's Shoes,https://shopee.ph/mall/brands/531
Men's Shoes,https://shopee.ph/mall/brands/123
Men's Apparel,https://shopee.ph/mall/brands/103
Hobbies & Stationery,https://shopee.ph/mall/brands/13612
Groceries,https://shopee.ph/mall/brands/363
Makeup & Fragrances,https://shopee.ph/mall/brands/15816
Motors,https://shopee.ph/mall/brands/15769
Home Appliances,https://shopee.ph/mall/brands/15509
Digital Goods & Vouchers,https://shopee.ph/mall/brands/15580
"Toys, Games & Collectibles",https://shopee.ph/mall/brands/115
Home Entertainment,https://shopee.ph/mall/brands/18529
Laptops & Computers,https://shopee.ph/mall/brands/18596
Cameras,https://shopee.ph/mall/brands/18560
Gaming,https://shopee.ph/mall/brands/20718
